

617560 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@441a5b80
751083 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@44276ba8
751193 - Lcom/fsck/k9/activity/MessageList; onItemClick
751193 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
751345 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
751346 + Lcom/fsck/k9/activity/MessageList; onPause
751346 - Lcom/fsck/k9/activity/MessageList; onPause
751370 + Lcom/fsck/k9/activity/MessageView; onCreate
751371 + Lcom/fsck/k9/K9Activity; onCreate
751373 - Lcom/fsck/k9/K9Activity; onCreate
751460 - Lcom/fsck/k9/activity/MessageView; onCreate
751460 + Lcom/fsck/k9/activity/MessageView; onResume
751461 + Lcom/fsck/k9/K9Activity; onResume
751462 - Lcom/fsck/k9/K9Activity; onResume
751463 - Lcom/fsck/k9/activity/MessageView; onResume
753089 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@440ce118
753100 - Lcom/fsck/k9/activity/MessageView; onClick
754303 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@440ce118
754311 - Lcom/fsck/k9/activity/MessageView; onClick
755684 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@4414c9d0
755690 - Lcom/fsck/k9/activity/MessageView; onClick
756822 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@440ce118
756830 - Lcom/fsck/k9/activity/MessageView; onClick
757855 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@440ce118
757860 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->connectV
758956 + Lcom/fsck/k9/activity/MessageList; onResume
758958 + Lcom/fsck/k9/K9Activity; onResume
758968 - Lcom/fsck/k9/K9Activity; onResume
759162 - Lcom/fsck/k9/activity/MessageList; onResume
763161 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
763250 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
763251 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
763253 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
763253 + Lcom/fsck/k9/activity/MessageList; onPause
763256 - Lcom/fsck/k9/activity/MessageList; onPause
763269 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
763270 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
763277 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
763396 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
763397 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
763402 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
781459 + Lcom/fsck/k9/service/MailService; onCreate
781460 - Lcom/fsck/k9/service/MailService; onCreate
781481 + Lcom/fsck/k9/activity/MessageList; onResume
781481 + Lcom/fsck/k9/K9Activity; onResume
781483 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
782020 - Lcom/fsck/k9/activity/MessageList; onResume
782167 + Lcom/fsck/k9/service/MailService; onDestroy
782168 - Lcom/fsck/k9/service/MailService; onDestroy
782877 + Lcom/fsck/k9/activity/MessageList; onPause
782882 - Lcom/fsck/k9/activity/MessageList; onPause
782914 + Lcom/fsck/k9/activity/FolderList; onResume
782917 + Lcom/fsck/k9/K9ListActivity; onResume
782922 - Lcom/fsck/k9/K9ListActivity; onResume
782996 - Lcom/fsck/k9/activity/FolderList; onResume
785453 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@44185b08
785959 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
785995 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
785995 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
785995 + Lcom/fsck/k9/activity/FolderList; onPause
785996 - Lcom/fsck/k9/activity/FolderList; onPause
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
786245 + Lcom/fsck/k9/activity/MessageList; onCreate
786282 + Lcom/fsck/k9/K9Activity; onCreate
786284 - Lcom/fsck/k9/K9Activity; onCreate
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
786760 - Lcom/fsck/k9/activity/MessageList; onCreate
786762 + Lcom/fsck/k9/activity/MessageList; onResume
786763 + Lcom/fsck/k9/K9Activity; onResume
786771 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
787455 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->closeV
788525 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44120c38
788563 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
793092 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
Ljava/net/Socket;->closeV
793557 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
793643 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
793645 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
793646 + Lcom/fsck/k9/activity/MessageList; onPause
793646 - Lcom/fsck/k9/activity/MessageList; onPause
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
793853 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
793853 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
793858 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
794294 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
794295 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
794298 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
798017 + Lcom/fsck/k9/service/MailService; onCreate
798018 - Lcom/fsck/k9/service/MailService; onCreate
798042 + Lcom/fsck/k9/activity/MessageList; onResume
798043 + Lcom/fsck/k9/K9Activity; onResume
798045 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
798801 - Lcom/fsck/k9/activity/MessageList; onResume
799045 + Lcom/fsck/k9/service/MailService; onDestroy
799046 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
801549 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
801644 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
801668 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
801676 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
801679 + Lcom/fsck/k9/activity/MessageList; onPause
801680 - Lcom/fsck/k9/activity/MessageList; onPause
801701 + Lcom/fsck/k9/activity/MessageCompose; onCreate
801702 + Lcom/fsck/k9/K9Activity; onCreate
801706 - Lcom/fsck/k9/K9Activity; onCreate
801881 - Lcom/fsck/k9/activity/MessageCompose; onCreate
801881 + Lcom/fsck/k9/activity/MessageCompose; onResume
801882 + Lcom/fsck/k9/K9Activity; onResume
801883 - Lcom/fsck/k9/K9Activity; onResume
801888 - Lcom/fsck/k9/activity/MessageCompose; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
805044 + Lcom/fsck/k9/activity/MessageCompose; onPause
805058 - Lcom/fsck/k9/activity/MessageCompose; onPause
Ljava/net/Socket;->closeV
805134 + Lcom/fsck/k9/activity/MessageList; onResume
805135 + Lcom/fsck/k9/K9Activity; onResume
805146 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
805581 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
810643 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
810643 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
812773 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Subject
812820 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
814970 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
814971 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
816671 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
816674 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
818223 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@44275c10
818228 - Lcom/fsck/k9/activity/MessageList; onClick
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
820553 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
Ljava/net/Socket;->closeV
820681 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
820731 + Lcom/fsck/k9/activity/MessageList; onPause
820732 - Lcom/fsck/k9/activity/MessageList; onPause
820763 + Lcom/fsck/k9/activity/FolderList; onCreate
820764 + Lcom/fsck/k9/K9ListActivity; onCreate
820771 - Lcom/fsck/k9/K9ListActivity; onCreate
820822 - Lcom/fsck/k9/activity/FolderList; onCreate
820828 + Lcom/fsck/k9/activity/FolderList; onResume
820828 + Lcom/fsck/k9/K9ListActivity; onResume
820831 - Lcom/fsck/k9/K9ListActivity; onResume
820990 - Lcom/fsck/k9/activity/FolderList; onResume
822132 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@441b87f8
822152 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
822152 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
822153 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
822153 + Lcom/fsck/k9/activity/FolderList; onPause
822154 - Lcom/fsck/k9/activity/FolderList; onPause
822163 + Lcom/fsck/k9/activity/MessageList; onCreate
822163 + Lcom/fsck/k9/K9Activity; onCreate
822165 - Lcom/fsck/k9/K9Activity; onCreate
822201 - Lcom/fsck/k9/activity/MessageList; onCreate
822202 + Lcom/fsck/k9/activity/MessageList; onResume
822202 + Lcom/fsck/k9/K9Activity; onResume
822204 - Lcom/fsck/k9/K9Activity; onResume
822440 - Lcom/fsck/k9/activity/MessageList; onResume
823560 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44217ee0
823630 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
824605 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
824621 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
827842 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder settings
Ljava/net/Socket;->connectV
827948 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
827984 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
827985 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
827985 + Lcom/fsck/k9/activity/MessageList; onPause
827986 - Lcom/fsck/k9/activity/MessageList; onPause
828169 + Lcom/fsck/k9/activity/setup/FolderSettings; onCreate
828170 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
828175 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
828278 - Lcom/fsck/k9/activity/setup/FolderSettings; onCreate
828293 + Lcom/fsck/k9/activity/setup/FolderSettings; onResume
828294 - Lcom/fsck/k9/activity/setup/FolderSettings; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
829593 + Lcom/fsck/k9/service/MailService; onCreate
829613 - Lcom/fsck/k9/service/MailService; onCreate
Ljava/net/Socket;->closeV
829882 + Lcom/fsck/k9/activity/MessageList; onResume
829888 + Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->connectV
829894 - Lcom/fsck/k9/K9Activity; onResume
830492 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
832945 + Lcom/fsck/k9/service/MailService; onDestroy
832947 - Lcom/fsck/k9/service/MailService; onDestroy
833187 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
833269 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
833332 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
833333 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
833333 + Lcom/fsck/k9/activity/MessageList; onPause
833341 - Lcom/fsck/k9/activity/MessageList; onPause
833381 + Lcom/fsck/k9/activity/MessageCompose; onCreate
833383 + Lcom/fsck/k9/K9Activity; onCreate
833392 - Lcom/fsck/k9/K9Activity; onCreate
833584 - Lcom/fsck/k9/activity/MessageCompose; onCreate
833585 + Lcom/fsck/k9/activity/MessageCompose; onResume
833586 + Lcom/fsck/k9/K9Activity; onResume
833590 - Lcom/fsck/k9/K9Activity; onResume
833591 - Lcom/fsck/k9/activity/MessageCompose; onResume
Ljava/net/Socket;->connectV
835334 + Lcom/fsck/k9/activity/MessageCompose; onPause
835335 - Lcom/fsck/k9/activity/MessageCompose; onPause
835358 + Lcom/fsck/k9/activity/MessageList; onResume
835359 + Lcom/fsck/k9/K9Activity; onResume
835362 - Lcom/fsck/k9/K9Activity; onResume
835515 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
837115 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
837116 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
838856 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Date
838886 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
840738 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
840739 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
841811 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
841820 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
842602 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@4415be58
842614 - Lcom/fsck/k9/activity/MessageList; onClick
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
844283 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
844310 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
844345 + Lcom/fsck/k9/activity/MessageList; onPause
844345 - Lcom/fsck/k9/activity/MessageList; onPause
844374 + Lcom/fsck/k9/activity/FolderList; onCreate
844375 + Lcom/fsck/k9/K9ListActivity; onCreate
844377 - Lcom/fsck/k9/K9ListActivity; onCreate
844402 - Lcom/fsck/k9/activity/FolderList; onCreate
844403 + Lcom/fsck/k9/activity/FolderList; onResume
844404 + Lcom/fsck/k9/K9ListActivity; onResume
844416 - Lcom/fsck/k9/K9ListActivity; onResume
844471 - Lcom/fsck/k9/activity/FolderList; onResume
845914 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@441c4a68
845932 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
846064 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
846065 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
846065 + Lcom/fsck/k9/activity/FolderList; onPause
846066 - Lcom/fsck/k9/activity/FolderList; onPause
846750 + Lcom/fsck/k9/activity/MessageList; onCreate
846757 + Lcom/fsck/k9/K9Activity; onCreate
846758 - Lcom/fsck/k9/K9Activity; onCreate
847280 - Lcom/fsck/k9/activity/MessageList; onCreate
847280 + Lcom/fsck/k9/activity/MessageList; onResume
847281 + Lcom/fsck/k9/K9Activity; onResume
847298 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
848046 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->closeV
849367 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@4437b520
849407 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
850391 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
850400 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
854799 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
854844 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
854855 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
854856 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
854857 + Lcom/fsck/k9/activity/MessageList; onPause
854857 - Lcom/fsck/k9/activity/MessageList; onPause
854875 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
854876 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
854883 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
855019 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
855020 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
855029 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
Ljava/net/Socket;->closeV
856219 + Lcom/fsck/k9/service/MailService; onCreate
856220 - Lcom/fsck/k9/service/MailService; onCreate
856243 + Lcom/fsck/k9/activity/MessageList; onResume
856244 + Lcom/fsck/k9/K9Activity; onResume
856245 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
