

10610141 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@441d89c8
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10789355 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@443222c0
10789356 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10791325 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@44381fa0
10791336 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10793188 + Lcom/fsck/k9/activity/MessageList; onResume
10793189 + Lcom/fsck/k9/K9Activity; onResume
10793191 - Lcom/fsck/k9/K9Activity; onResume
10793260 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10795973 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
10795973 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10798262 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
10798269 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
10800436 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@4409ea18
10800456 - Lcom/fsck/k9/activity/MessageList; onClick
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
10802577 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
10802578 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10804459 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Date
10804483 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10808631 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
10808634 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
10813944 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
10814072 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10814095 + Lcom/fsck/k9/activity/MessageList; onPause
10814096 - Lcom/fsck/k9/activity/MessageList; onPause
Ljava/net/Socket;->closeV
10814121 + Lcom/fsck/k9/activity/FolderList; onCreate
10814123 + Lcom/fsck/k9/K9ListActivity; onCreate
10814131 - Lcom/fsck/k9/K9ListActivity; onCreate
10814178 - Lcom/fsck/k9/activity/FolderList; onCreate
10814179 + Lcom/fsck/k9/activity/FolderList; onResume
10814181 + Lcom/fsck/k9/K9ListActivity; onResume
10814185 - Lcom/fsck/k9/K9ListActivity; onResume
10814310 - Lcom/fsck/k9/activity/FolderList; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10817036 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@43ff7678
10817063 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
10817064 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
10817064 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
10817065 + Lcom/fsck/k9/activity/FolderList; onPause
10817065 - Lcom/fsck/k9/activity/FolderList; onPause
10817074 + Lcom/fsck/k9/activity/MessageList; onCreate
10817075 + Lcom/fsck/k9/K9Activity; onCreate
10817078 - Lcom/fsck/k9/K9Activity; onCreate
10817122 - Lcom/fsck/k9/activity/MessageList; onCreate
10817122 + Lcom/fsck/k9/activity/MessageList; onResume
10817123 + Lcom/fsck/k9/K9Activity; onResume
10817125 - Lcom/fsck/k9/K9Activity; onResume
10817251 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->closeV
10819124 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44332728
10819137 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10820211 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10820269 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10820306 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10820307 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10820308 + Lcom/fsck/k9/activity/MessageList; onPause
10820310 - Lcom/fsck/k9/activity/MessageList; onPause
10820340 + Lcom/fsck/k9/activity/MessageCompose; onCreate
10820341 + Lcom/fsck/k9/K9Activity; onCreate
10820347 - Lcom/fsck/k9/K9Activity; onCreate
10820590 - Lcom/fsck/k9/activity/MessageCompose; onCreate
10820591 + Lcom/fsck/k9/activity/MessageCompose; onResume
10820592 + Lcom/fsck/k9/K9Activity; onResume
10820594 - Lcom/fsck/k9/K9Activity; onResume
10820595 - Lcom/fsck/k9/activity/MessageCompose; onResume
10822186 + Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44228540
10822204 - Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu
10825984 + Lcom/fsck/k9/activity/MessageCompose; onPause
10825984 - Lcom/fsck/k9/activity/MessageCompose; onPause
10825993 + Lcom/fsck/k9/activity/MessageList; onResume
10825994 + Lcom/fsck/k9/K9Activity; onResume
10825998 - Lcom/fsck/k9/K9Activity; onResume
10826135 - Lcom/fsck/k9/activity/MessageList; onResume
10827323 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@440ff758
10827355 - Lcom/fsck/k9/activity/MessageList; onItemClick
10827356 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10827357 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10827358 + Lcom/fsck/k9/activity/MessageList; onPause
10827358 - Lcom/fsck/k9/activity/MessageList; onPause
10827386 + Lcom/fsck/k9/activity/MessageView; onCreate
10827386 + Lcom/fsck/k9/K9Activity; onCreate
10827389 - Lcom/fsck/k9/K9Activity; onCreate
10827513 - Lcom/fsck/k9/activity/MessageView; onCreate
10827514 + Lcom/fsck/k9/activity/MessageView; onResume
10827514 + Lcom/fsck/k9/K9Activity; onResume
10827516 - Lcom/fsck/k9/K9Activity; onResume
10827522 - Lcom/fsck/k9/activity/MessageView; onResume
Ljava/net/Socket;->connectV
10828677 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@4415f098
10828682 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->closeV
10829996 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@4415f098
10830000 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
10840048 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@4415f098
10840050 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10841168 + Lcom/fsck/k9/service/MailService; onCreate
10841169 - Lcom/fsck/k9/service/MailService; onCreate
10841305 + Lcom/fsck/k9/service/MailService; onDestroy
10841305 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10842872 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@4419b758
10842889 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10844350 + Lcom/fsck/k9/activity/MessageList; onResume
10844350 + Lcom/fsck/k9/K9Activity; onResume
10844352 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->connectV
10844623 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
10848231 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
10848232 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
10853726 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
10853778 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10853779 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10853782 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10853782 + Lcom/fsck/k9/activity/MessageList; onPause
10853784 - Lcom/fsck/k9/activity/MessageList; onPause
10853799 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
10853800 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
10853807 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
10854216 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
10854217 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
10854233 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
10856633 + Lcom/fsck/k9/service/MailService; onCreate
10856633 - Lcom/fsck/k9/service/MailService; onCreate
10856651 + Lcom/fsck/k9/activity/MessageList; onResume
10856652 + Lcom/fsck/k9/K9Activity; onResume
10856654 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10857304 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10857561 + Lcom/fsck/k9/service/MailService; onDestroy
10857561 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
10862885 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
10862885 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10866126 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Subject
10866152 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10869212 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
10869219 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
10873040 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@440ff758
10873623 - Lcom/fsck/k9/activity/MessageList; onItemClick
10873671 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10873672 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10873672 + Lcom/fsck/k9/activity/MessageList; onPause
10873673 - Lcom/fsck/k9/activity/MessageList; onPause
10873886 + Lcom/fsck/k9/activity/MessageView; onCreate
10873887 + Lcom/fsck/k9/K9Activity; onCreate
10874062 - Lcom/fsck/k9/K9Activity; onCreate
10874141 - Lcom/fsck/k9/activity/MessageView; onCreate
10874142 + Lcom/fsck/k9/activity/MessageView; onResume
10874142 + Lcom/fsck/k9/K9Activity; onResume
10874144 - Lcom/fsck/k9/K9Activity; onResume
10874144 - Lcom/fsck/k9/activity/MessageView; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
10876260 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@44255aa0
10876266 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
10878284 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@44249a28
10878292 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10879960 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@44249a28
10879969 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10882862 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@44249a28
10882893 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10886040 + Lcom/fsck/k9/activity/MessageList; onResume
10886040 + Lcom/fsck/k9/K9Activity; onResume
10886043 - Lcom/fsck/k9/K9Activity; onResume
10886152 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
10891335 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
10891337 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
10902070 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
10902181 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10902183 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10902185 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10902185 + Lcom/fsck/k9/activity/MessageList; onPause
10902185 - Lcom/fsck/k9/activity/MessageList; onPause
10902199 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
10902199 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
10902206 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
10902308 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
10902309 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
10902318 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
10904388 + Lcom/fsck/k9/service/MailService; onCreate
10904388 - Lcom/fsck/k9/service/MailService; onCreate
10904431 + Lcom/fsck/k9/service/MailService; onDestroy
10904431 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
10904712 + Lcom/fsck/k9/service/MailService; onCreate
10904713 - Lcom/fsck/k9/service/MailService; onCreate
10904730 + Lcom/fsck/k9/activity/MessageList; onResume
10904730 + Lcom/fsck/k9/K9Activity; onResume
10904732 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
10905150 - Lcom/fsck/k9/activity/MessageList; onResume
10905261 + Lcom/fsck/k9/service/MailService; onDestroy
10905261 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10911573 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
10911574 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10916802 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
10917054 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10917133 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10917134 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
10917135 + Lcom/fsck/k9/activity/MessageList; onPause
10917140 - Lcom/fsck/k9/activity/MessageList; onPause
Ljava/net/Socket;->connectV
10917183 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
10917185 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
10917201 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
10917397 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
10917397 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
10917404 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
10919119 + Lcom/fsck/k9/service/MailService; onCreate
10919120 - Lcom/fsck/k9/service/MailService; onCreate
10919149 + Lcom/fsck/k9/activity/MessageList; onResume
10919151 + Lcom/fsck/k9/K9Activity; onResume
10919153 - Lcom/fsck/k9/K9Activity; onResume
10919291 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10921443 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
10921668 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
10921685 + Lcom/fsck/k9/activity/MessageList; onPause
10921686 - Lcom/fsck/k9/activity/MessageList; onPause
10921706 + Lcom/fsck/k9/activity/FolderList; onCreate
10921706 + Lcom/fsck/k9/K9ListActivity; onCreate
10921708 - Lcom/fsck/k9/K9ListActivity; onCreate
10921745 - Lcom/fsck/k9/activity/FolderList; onCreate
10921746 + Lcom/fsck/k9/activity/FolderList; onResume
10921746 + Lcom/fsck/k9/K9ListActivity; onResume
10921748 - Lcom/fsck/k9/K9ListActivity; onResume
10921795 - Lcom/fsck/k9/activity/FolderList; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
10923631 + Lcom/fsck/k9/activity/FolderList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@43fb9510
10923633 - Lcom/fsck/k9/activity/FolderList; onCreateOptionsMenu
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
